customer_no,productions,tickets,revenues,days_last,days_max,days_mean,weekdays,weekends,email_engagement,email_unsubscribe,membership,years_member,membership_dropped,membership_downgraded,mosaic,fss,london,uk,proximity,churned
285,57,80,1636.05,35,233,21,0.84,0.16,0.55,N,A,0,X,X,A,B,Y,Y,A,0
286,10,20,496,42,390,125,0.7,0.3,0.17,N,A,0,X,X,O,J,Y,Y,A,0
287,11,12,347,348,881,118,0.73,0.27,0.33,N,A,0,X,X,A,B,Y,Y,A,1
288,7,8,479.5,306,554,105,0.86,0.14,0.26,N,A,0,X,X,A,B,N,Y,B,1
289,65,99,2619,19,189,24,0.83,0.17,0.5,N,A,0,X,X,A,B,Y,Y,A,0
290,16,17,1039,42,176,79,0.69,0.31,0.2,N,A,0,X,X,A,B,Y,Y,A,1
291,11,11,430,183,250,130,0.45,0.55,0.2,N,A,0,X,X,A,F,N,Y,B,0
292,8,15,1036,238,457,179,0.62,0.38,0.53,N,A,0,X,X,X,X,N,N,D,1
293,20,43,725,42,338,42,0.25,0.75,0.6,N,A,2,Y,N,H,B,N,Y,B,0
294,9,25,4571,168,586,181,0.33,0.67,0.54,N,K,5,N,N,A,F,Y,Y,A,0
295,9,20,261,42,123,42,0.78,0.22,0.62,N,A,0,X,X,A,B,Y,Y,A,0
296,7,12,1367,7,691,238,0.86,0.14,0.57,N,I,5,N,N,C,F,N,Y,B,1
297,10,20,1012,42,730,173,0.1,0.9,0.25,N,A,0,X,X,D,G,N,Y,B,1
298,11,22,4594,30,469,160,0.18,0.82,0.11,N,I,5,N,N,A,F,Y,Y,A,0
299,74,113,14905.25,27,110,22,0.8,0.2,0.12,N,I,5,N,N,A,F,Y,Y,A,0
300,6,12,2268,357,422,218,0.67,0.33,0.42,N,I,5,N,N,X,X,N,N,C,1
301,55,56,2727.5,70,127,28,0.71,0.29,0.2,N,I,5,N,N,B,F,N,Y,B,0
302,16,30,2653,62,648,97,0.81,0.19,0.66,N,I,5,N,Y,A,F,Y,Y,A,1
303,7,9,1451,41,976,260,1,0,0.36,N,A,0,X,X,F,K,N,Y,B,1
